HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),Volume Change since 2025-04-29 (af)
Rio Grande-Elephant Butte,Rio San Jose,8000-9000',0.0,0.013375857844948769,243.21106910870245,243.21107
Rio Grande-Elephant Butte,Rio San Jose,9000-10000',0.0,0.0005468000890687108,0.8107035002807426,0.8107035
Rio Grande-Elephant Butte,Rio San Jose,10000-11000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Plains of San Agustin,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Plains of San Agustin,7000-8000',0.0,0.0005421151290647686,36.48165643867085,36.481655
Rio Grande-Elephant Butte,Plains of San Agustin,8000-9000',0.0,0.006285058334469795,101.33793891590183,101.33794
Rio Grande-Elephant Butte,Plains of San Agustin,9000-10000',0.0393696054816246,0.06561600416898727,32.42813878384392,32.42814
Rio Grande-Elephant Butte,Rio Salado,4000-5000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Salado,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Salado,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Salado,7000-8000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Salado,8000-9000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Salado,9000-10000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Jornada Del Muerto,4000-5000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Jornada Del Muerto,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Jornada Del Muerto,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Jornada Del Muerto,7000-8000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Jornada Del Muerto,8000-9000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Elephant Butte Reservoir,4000-5000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Elephant Butte Reservoir,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Elephant Butte Reservoir,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Elephant Butte Reservoir,7000-8000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Elephant Butte Reservoir,8000-9000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Elephant Butte Reservoir,9000-10000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Elephant Butte Reservoir,10000-11000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Puerco,4000-5000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Puerco,5000-6000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Puerco,6000-7000',0.0,0.0,0.0,0.0
Rio Grande-Elephant Butte,Rio Puerco,7000-8000',0.0,0.0003149568510707468,4.053517654826936,4.053518
Rio Grande-Elephant Butte,Rio Puerco,8000-9000',0.0,0.0841001644730568,406.9730831909392,406.97308
Rio Grande-Elephant Butte,Rio Puerco,9000-10000',0.9055007696151733,0.9352289438247681,943.6588098890306,943.6588
Rio Grande-Elephant Butte,Rio Puerco,10000-11000',1.200772762298584,1.2113722562789917,648.5627069432743,648.5627
